title,href,date,reply,view
2019年虎扑新版全站版规（入站必读）请勿轻信他人，谨防上当受骗！,https://bbs.hupu.com/25815191.html,2019-03-16,5,13906
A股虽然垃圾，但是美股几十年的涨，难道赚的不是美联储印钞的钱？,https://bbs.hupu.com/40924516.html,2021-02-04,8,5776
两天亏了一半年终奖,https://bbs.hupu.com/40912965.html,2021-02-04,23,28843
21年2月老布大超市$$$$$$——————$$$$$$,https://bbs.hupu.com/40806604.html,2021-01-30,4091,421291
券商到底怎么了？,https://bbs.hupu.com/40916365.html,2021-02-04,12,11705
找到一款控制回撤比张坤还厉害的基金,https://bbs.hupu.com/40925496.html,2021-02-04,1,479
平安炮兵营明天开炮！爬城头拿下82块钱,https://bbs.hupu.com/40920521.html,2021-02-04,4,2663
"XDM,推荐个好基，真滴不错！！",https://bbs.hupu.com/40925526.html,2021-02-04,1,270
半导体ETF今天打到箱体下沿又收回去了  那么是抄底好时机吗？？,https://bbs.hupu.com/40916265.html,2021-02-04,7,10973
jrs，大妈进场了,https://bbs.hupu.com/40925549.html,2021-02-04,6,1087
兄弟们，新能源现在继续加仓适合吗,https://bbs.hupu.com/40924837.html,2021-02-04,14,2536
记录一下，一万块钱进股市,https://bbs.hupu.com/40878546.html,2021-02-02,8,11024
尾盘清了金发入了比亚迪,https://bbs.hupu.com/40919904.html,2021-02-04,17,12286
银行起来了，保险可以抄底了，至少50%反弹,https://bbs.hupu.com/40920354.html,2021-02-04,47,33437
收到个基金公司的短信，意外的找到了一笔遗忘的小财，真是高兴。,https://bbs.hupu.com/40904520.html,2021-02-03,100,151611
大家怎么看待半导体，新能源汽车、光伏三大主流板块的走势？,https://bbs.hupu.com/40925018.html,2021-02-04,5,1765
军工，我日你大爷,https://bbs.hupu.com/40924877.html,2021-02-04,10,3005
还记得我吗？房子抵押的钱到了，今天先买了50万,https://bbs.hupu.com/40918674.html,2021-02-04,143,121814
银行客服经理推荐的基金,https://bbs.hupu.com/40923957.html,2021-02-04,25,9697
军工一直跌，要怎么样才能回本,https://bbs.hupu.com/40909605.html,2021-02-04,80,72576
关于超短打板看到过这样一种打法，不知道大家有什么观点,https://bbs.hupu.com/40923721.html,2021-02-04,15,4286
美股和A股的差异在哪里，哪个股市更强,https://bbs.hupu.com/40918883.html,2021-02-04,25,13665
普跌之下狂炒贵州茅台，已成赤裸裸的博傻行为,https://bbs.hupu.com/40919925.html,2021-02-04,62,84387
诺安你笑起来真好看,https://bbs.hupu.com/40917789.html,2021-02-04,18,15511
大家投资理财的总回报率是多少？,https://bbs.hupu.com/40922859.html,2021-02-04,2,2393
一个月亏了25%,https://bbs.hupu.com/40921671.html,2021-02-04,46,17112
上证将会震荡后重拾涨势,https://bbs.hupu.com/40919957.html,2021-02-04,3,6837
基金小白求问，这六个留五个，去掉哪一个好？,https://bbs.hupu.com/40912147.html,2021-02-04,28,23390
收盘还赚钱了，全靠一只票啊,https://bbs.hupu.com/40919621.html,2021-02-04,7,8213
给小白总结的一些基金术语 有纰漏的地方欢迎指正,https://bbs.hupu.com/40921881.html,2021-02-04,11,7438
为啥这基金都不更新的啊,https://bbs.hupu.com/40919384.html,2021-02-04,23,17971
比2440点股价低的股票快要超一半了,https://bbs.hupu.com/40922016.html,2021-02-04,13,10187
兄弟们，年后100W购房款，1年时间怎么操作稳？,https://bbs.hupu.com/40925789.html,2021-02-04,0,35
Byd比亚迪，我就问一句话！,https://bbs.hupu.com/40916693.html,2021-02-04,44,25652
为什么支付宝转出要4天？,https://bbs.hupu.com/40919696.html,2021-02-04,16,16924
一路跌，继续大跌，过年前的绝望,https://bbs.hupu.com/40918644.html,2021-02-04,29,13833
抄底游戏股失败。。。一朝回到大清,https://bbs.hupu.com/40913458.html,2021-02-04,29,25818
马斯克又给狗狗币喊单了,https://bbs.hupu.com/40920225.html,2021-02-04,14,15162
今天的易方达蓝筹怎么吹？,https://bbs.hupu.com/40924619.html,2021-02-04,33,15072
【年目标收益率30%】-Day 7,https://bbs.hupu.com/40919270.html,2021-02-04,10,5140
洛阳玻璃,https://bbs.hupu.com/40911356.html,2021-02-04,5,4150
不出意外的话，菜博士今天又要被骂烂了吧,https://bbs.hupu.com/40912744.html,2021-02-04,21,37515
诺安人，诺安魂,https://bbs.hupu.com/40896448.html,2021-02-03,38,27723
清仓了中远海控，建仓桐昆股份,https://bbs.hupu.com/40877884.html,2021-02-02,62,34272
茅台，大家要知道一个问题,https://bbs.hupu.com/40920718.html,2021-02-04,11,21948
真的有黑色星期四一说吗,https://bbs.hupu.com/40916665.html,2021-02-04,25,13973
各位老哥 为什么委托价比股价高很多依然买不进,https://bbs.hupu.com/40911725.html,2021-02-04,14,14260
长安和长城这几个月都将奔向30的价位,https://bbs.hupu.com/40921074.html,2021-02-04,5,5361
这是平台偷吃了吗？,https://bbs.hupu.com/40925719.html,2021-02-04,0,316
这波啊……这波是行情炸裂了呀,https://bbs.hupu.com/40916461.html,2021-02-04,69,48313
打新快手中签，给JRs吸吸欧气,https://bbs.hupu.com/40921663.html,2021-02-04,17,13613
今天抄底诺安，兄弟们大胆跟我冲,https://bbs.hupu.com/40914256.html,2021-02-04,68,53890
jrs，爸妈给了100w练手，有没有什么基金推荐,https://bbs.hupu.com/40882620.html,2021-02-03,636,559593
基金公司排名分档！,https://bbs.hupu.com/40910503.html,2021-02-04,87,64719
易方达app买基金和支付宝买有啥区别呀,https://bbs.hupu.com/40920936.html,2021-02-04,12,12470
踏空真的难受！,https://bbs.hupu.com/40915186.html,2021-02-04,15,12780
我终于知道为什么海康威视业绩涨这么快了,https://bbs.hupu.com/40921571.html,2021-02-04,69,83452
快手破万亿市值啦！抖音不得上天？！,https://bbs.hupu.com/40924569.html,2021-02-04,2,1649
有jr考过基金从业资格证么？,https://bbs.hupu.com/40915410.html,2021-02-04,32,21510
昨天今天买了这货。准备年前年后加仓到百万。,https://bbs.hupu.com/40919532.html,2021-02-04,21,18129
数据显示，很多人买基金还是太浮躁,https://bbs.hupu.com/40911414.html,2021-02-04,82,63016
京东方做波段怎样，多少可以入。,https://bbs.hupu.com/40919509.html,2021-02-04,8,6576
定投选周几？,https://bbs.hupu.com/40920107.html,2021-02-04,39,31173
基金小白求问混合鸡的选择,https://bbs.hupu.com/40921212.html,2021-02-04,4,3036
有没有收益稳定回撤小的基金推荐？,https://bbs.hupu.com/40915843.html,2021-02-04,55,26522
股票圈刷屏的一张图，为什么大家都在怕？,https://bbs.hupu.com/40920254.html,2021-02-04,14,17336
股市太疯狂,https://bbs.hupu.com/40914281.html,2021-02-04,11,21491
想开点，今天跌了，明天周五就不会跌了,https://bbs.hupu.com/40916639.html,2021-02-04,11,16916
茅台真是永远的神。从117元关注它一直涨到现在。中国的神,https://bbs.hupu.com/40922610.html,2021-02-04,38,28102
今天基金跌了就直接加仓了,https://bbs.hupu.com/40911195.html,2021-02-04,16,36797
连续两天跌的这么厉害，是不是为了打压北上资金？,https://bbs.hupu.com/40917925.html,2021-02-04,29,30184
你们好吗？,https://bbs.hupu.com/40899310.html,2021-02-03,17,34114
快手暗盘交易涨200% 离谱,https://bbs.hupu.com/40920198.html,2021-02-04,5,8643
今天这行情，哪个经理红，才代表水平，张坤，朱少醒，罗世峰，曲杨，看你们的！,https://bbs.hupu.com/40918780.html,2021-02-04,101,32890
易方达蓝筹、兴全合润、富国天惠、前海开源沪港深优选、中欧医疗健康、交银定期支付,https://bbs.hupu.com/40925429.html,2021-02-04,1,840
关于诺安，并不是你想的那么简单,https://bbs.hupu.com/40923587.html,2021-02-04,7,5626
这只股票连跌7个月了！！,https://bbs.hupu.com/40913471.html,2021-02-04,60,78515
哈哈，我当时说买银行股你们还冷潮热讽,https://bbs.hupu.com/40898083.html,2021-02-03,24,33188
股灾性牛市,https://bbs.hupu.com/40911914.html,2021-02-04,108,63597
16000进股市第九交易日,https://bbs.hupu.com/40925576.html,2021-02-04,0,304
半个月前打不过任何热门基金，而这两周这些热门都没打过我,https://bbs.hupu.com/40921159.html,2021-02-04,8,11413
目前情况下，求推荐几只。,https://bbs.hupu.com/40874299.html,2021-02-02,28,21484
赔了7000多，诺安跑了，太坑爹了,https://bbs.hupu.com/40916801.html,2021-02-04,37,27436
大佬们，中石油能入么？,https://bbs.hupu.com/40912441.html,2021-02-04,50,39731
股市，再见了！,https://bbs.hupu.com/40896802.html,2021-02-03,85,53417
短期趋势比较一般,https://bbs.hupu.com/40925517.html,2021-02-04,0,527
易方达蓝筹平了…加仓不好操作啊,https://bbs.hupu.com/40918158.html,2021-02-04,20,29929
天齐今天跌停买了6手，明天会不会死,https://bbs.hupu.com/40921310.html,2021-02-04,26,10880
1月份只跌了4天的鸡，今天终于下跌你们还不敢上车吗？,https://bbs.hupu.com/40918149.html,2021-02-04,11,14593
当了诺安的韭菜，什么水平？,https://bbs.hupu.com/40913984.html,2021-02-04,12,11149
期权初体验,https://bbs.hupu.com/40894922.html,2021-02-03,14,20371
直接跌吧，别演了,https://bbs.hupu.com/40914009.html,2021-02-04,15,18805
说实话我现在很迷茫,https://bbs.hupu.com/40897079.html,2021-02-03,46,35377
中午被埋了，活埋！！,https://bbs.hupu.com/40921375.html,2021-02-04,9,19091
关于近期比较火的大摩进取基金的抗跌特性，我来说两句,https://bbs.hupu.com/40918675.html,2021-02-04,25,25280
原油基金咋样，今天暴涨,https://bbs.hupu.com/40923006.html,2021-02-04,2,2933
请问使用易方达的e钱包买基金比支付宝买有什么好处？,https://bbs.hupu.com/40925422.html,2021-02-04,0,608
"今天本以为亏几万，景顺今天居然挣钱了！太给力了！
张坤也给！",https://bbs.hupu.com/40924979.html,2021-02-04,4,2099
没有了，没有利好茅台了，世卫最新研究成果,https://bbs.hupu.com/40921339.html,2021-02-04,10,6457
这个港基真好啊,https://bbs.hupu.com/40923644.html,2021-02-04,2,3289
想all in 上机。。。。,https://bbs.hupu.com/40922706.html,2021-02-04,14,6699
三安光电到底是一支什么样的股票,https://bbs.hupu.com/40912655.html,2021-02-04,10,11742
本人大二学生一枚，向父母借了3w，准备梭哈基金，有什么好推荐吗？,https://bbs.hupu.com/40906480.html,2021-02-03,66,43099
巴菲特们，我这个配置是不是稳健的一批,https://bbs.hupu.com/40912115.html,2021-02-04,35,29633
快手暗盘溢价200%，单价逼近美团，疯了吧？,https://bbs.hupu.com/40920165.html,2021-02-04,13,19908
这个基金是不是老鼠仓？持仓全红，收益是负数。要不要举报？,https://bbs.hupu.com/40860583.html,2021-02-01,128,219402
中金公司怎么看,https://bbs.hupu.com/40915246.html,2021-02-04,14,18534
比特币疯狂的这几年，我准备找回被遗忘的莱特币,https://bbs.hupu.com/40920459.html,2021-02-04,4,8345
大盘要红了，是不是庄家抄底了,https://bbs.hupu.com/40917954.html,2021-02-04,16,14972
说真的 如果有二十多万,https://bbs.hupu.com/40919974.html,2021-02-04,41,34611
好兄弟们！！,https://bbs.hupu.com/40884413.html,2021-02-03,66,107330
这波诺安精准抄底什么水平,https://bbs.hupu.com/40923662.html,2021-02-04,5,3515
但愿你和我一路同行，在鸟语花香的春风里(第二集),https://bbs.hupu.com/40818820.html,2021-01-30,24,15545
好多人5万左右的仓位买了七八支股票 把话放这 能赚钱算我输 一些垃圾低价股,https://bbs.hupu.com/40825489.html,2021-01-31,46,53156
中泰化学——化工里的五粮液,https://bbs.hupu.com/40920090.html,2021-02-04,35,13230
快手明天可以进场吗？,https://bbs.hupu.com/40921113.html,2021-02-04,5,3772
求jr推荐学习基金股票的书,https://bbs.hupu.com/40924417.html,2021-02-04,1,2020
涨知识啦～,https://bbs.hupu.com/40883448.html,2021-02-03,26,32787
07年买的基金，一直到现在，求解答,https://bbs.hupu.com/40910651.html,2021-02-04,57,71096
明天快手上市了，大家看好吗？,https://bbs.hupu.com/40924922.html,2021-02-04,4,1752
最近看到很多人清仓走人，你们连红包行情也不要了？,https://bbs.hupu.com/40923486.html,2021-02-04,7,8143
张坤的基金四季度被赎回超200亿，你卖掉手上的基金了吗？,https://bbs.hupu.com/40910845.html,2021-02-04,24,47125
套现100亿，狂赚40倍！A股“股神”又火了！,https://bbs.hupu.com/40918993.html,2021-02-04,38,58074
一酱功成万股哭,https://bbs.hupu.com/40919477.html,2021-02-04,5,3696
今天易方达蓝筹可能要亏一个点多一些。,https://bbs.hupu.com/40919739.html,2021-02-04,18,20446
请大家推荐几只好基,https://bbs.hupu.com/40918615.html,2021-02-04,2,5180
菜狗的评论区真的人才辈出嗷,https://bbs.hupu.com/40922650.html,2021-02-04,3,4613
5G，半导体，军工的春天啥时候才能来,https://bbs.hupu.com/40912258.html,2021-02-04,40,38282
【57万基金实盘更新2.4】昨日收益-1776元,https://bbs.hupu.com/40915038.html,2021-02-04,2,5328
2021见证招行市值超越工行,https://bbs.hupu.com/40910581.html,2021-02-04,61,45399
理想跌成翔了,https://bbs.hupu.com/40882039.html,2021-02-02,11,30624
狗狗币DOGE因马斯克再度发推文暴涨，是人性的扭曲还是道德的沦丧！,https://bbs.hupu.com/40921509.html,2021-02-04,11,5998
歌尔股份WDNMD,https://bbs.hupu.com/40917614.html,2021-02-04,16,20109
2.4日 逆市上涨,https://bbs.hupu.com/40925085.html,2021-02-04,0,960
下一个宁德时代！隆基股份，全球光伏龙头，高瓴资本疯狂高价抢筹,https://bbs.hupu.com/40861729.html,2021-02-02,22,28849
万恶的大A太凶残了，美女被虐哭。。。,https://bbs.hupu.com/40916016.html,2021-02-04,52,28711
有没有人重仓5g半导体,https://bbs.hupu.com/40916684.html,2021-02-04,29,22599
中环股份，立讯精密,https://bbs.hupu.com/40921745.html,2021-02-04,8,8706
买基金，这些是我精挑细选的。收益翻倍了,https://bbs.hupu.com/40822678.html,2021-01-31,476,488607
两个图告诉你为啥诺安这么拉跨还这么火。,https://bbs.hupu.com/40919275.html,2021-02-04,14,16049
诺安 我日,https://bbs.hupu.com/40915586.html,2021-02-04,30,23330
茅台就离谱,https://bbs.hupu.com/40913867.html,2021-02-04,7,8148
宇通有搞头不，坤哥持盘,https://bbs.hupu.com/40916131.html,2021-02-04,18,15335
烽火通信是怎么了？以为20就是底了，现在17块多，难受,https://bbs.hupu.com/40915647.html,2021-02-04,12,12547
又是悲伤的一天，2021年有点扛不住,https://bbs.hupu.com/40895793.html,2021-02-03,66,38654
金发科技发生了什么！,https://bbs.hupu.com/40895617.html,2021-02-03,81,50490
化妆品行业还是值得长期坚守,https://bbs.hupu.com/40911733.html,2021-02-04,2,4199
说说你见过最坑的基,https://bbs.hupu.com/40897509.html,2021-02-03,71,35666
华夏能源入手一个月了牛白,https://bbs.hupu.com/40917347.html,2021-02-04,23,18103
出色的诺安,https://bbs.hupu.com/40918195.html,2021-02-04,7,5982
"“拿个金牛基金奖，了不起？” “嗯！了不起！”

科普一下三大奖项",https://bbs.hupu.com/40921120.html,2021-02-04,3,5889
有人不断地为机构抱团取暖叫好，但是，如今的A股市场已经不问个股的基本面,https://bbs.hupu.com/40919241.html,2021-02-04,7,4324
模拟炒股 这是什么水平(娱乐),https://bbs.hupu.com/40921949.html,2021-02-04,10,6569
有点懵了求教，我这种情况怎么加仓？,https://bbs.hupu.com/40924739.html,2021-02-04,1,1343
B站一个神奇的财经up主，暗语大师,https://bbs.hupu.com/40868346.html,2021-02-02,83,163816
黄金珠宝我日你仙人,https://bbs.hupu.com/40917495.html,2021-02-04,10,7706
今日加仓万华化学，新增合盛硅业,https://bbs.hupu.com/40924835.html,2021-02-04,0,1156
消费电子，半导体，券商永远的鬼。。。。。,https://bbs.hupu.com/40913334.html,2021-02-04,17,19564
啥时候回本啥时候清仓，,https://bbs.hupu.com/40924705.html,2021-02-04,2,1589
阳光电源走势图是不是有点叼,https://bbs.hupu.com/40806482.html,2021-01-30,21,28372
蓝筹的估值跟实际差别太大了吧,https://bbs.hupu.com/40878009.html,2021-02-02,56,83663
昨天被辞退 养鸡场再见 年后再起航,https://bbs.hupu.com/40916703.html,2021-02-04,56,47996
三七互娱真是垃圾股,https://bbs.hupu.com/40923449.html,2021-02-04,7,5953
喜迎春节行情，抄底时刻即将到来！,https://bbs.hupu.com/40924773.html,2021-02-04,0,641
21年2月超短楼,https://bbs.hupu.com/40832214.html,2021-01-31,2261,362927
洋河提价的消息没啥用啊,https://bbs.hupu.com/40918662.html,2021-02-04,14,9123
立讯精密是不是该跑路了？,https://bbs.hupu.com/40912061.html,2021-02-04,21,24439
今天又是相对无聊的一天，三一，五粮液，青岛啤酒锁仓处理了,https://bbs.hupu.com/40912188.html,2021-02-04,14,12868
让你们看看为啥敢拔网线。看到最后,https://bbs.hupu.com/40784925.html,2021-01-29,3,13466
小白求问 我这三个基怎么样啊,https://bbs.hupu.com/40922914.html,2021-02-04,1,2364
打算定投30年,https://bbs.hupu.com/40919987.html,2021-02-04,8,9577
如何评论傻屌中的沙雕～银河,https://bbs.hupu.com/40914876.html,2021-02-04,14,10993
新选的4只基，准备年前建仓，XDM看看如何,https://bbs.hupu.com/40910282.html,2021-02-04,13,14551
坤哥今天要挨打了,https://bbs.hupu.com/40911747.html,2021-02-04,44,93525
是谁推荐的金发？？？？,https://bbs.hupu.com/40898770.html,2021-02-03,20,22260
化工基有啥,https://bbs.hupu.com/40911369.html,2021-02-04,5,5394
中国A股: 明天有3种可能的走法，会是节前最后一个黑色星期五吗？,https://bbs.hupu.com/40924123.html,2021-02-04,1,1665
【非技术讨论】不懂就问：贵州茅台为什么还没有被纳入科创版指数？（有图~）,https://bbs.hupu.com/40922079.html,2021-02-04,3,4352
半导体真的牛逼，诺安真的牛逼，菜狗真的牛逼,https://bbs.hupu.com/40911892.html,2021-02-04,78,72512
大象起舞——打一股票,https://bbs.hupu.com/40919432.html,2021-02-04,5,5476
三傻实盘———说下平安万科给区里的三傻持有者一点信心,https://bbs.hupu.com/40675092.html,2021-01-24,70,45019
诺安红了？我人傻了,https://bbs.hupu.com/40917964.html,2021-02-04,10,28495
交银三剑客大家怎么看,https://bbs.hupu.com/40877883.html,2021-02-02,43,40091
股民记住，别接盘报团股，别买基金,https://bbs.hupu.com/40919173.html,2021-02-04,49,31481
380万实盘,https://bbs.hupu.com/40731125.html,2021-01-26,52,41854
快手上市利好易方达蓝筹吗？,https://bbs.hupu.com/40920873.html,2021-02-04,8,15106
想长期定投沪深300、上证50，大佬能推荐一下吗？,https://bbs.hupu.com/40794703.html,2021-01-29,27,31578
蔡经理看到自己的手办了,https://bbs.hupu.com/40901963.html,2021-02-03,52,104264
【咖啡迷股市说】2月5日大盘盘前预测与操作策略,https://bbs.hupu.com/40924540.html,2021-02-04,0,1707
什么时候能回本 巴菲特们看一下,https://bbs.hupu.com/40919315.html,2021-02-04,19,10137
多氟多今天大跌，晚上就发定增通告了,https://bbs.hupu.com/40924443.html,2021-02-04,0,1848
关于基金定投，我想问个问题,https://bbs.hupu.com/40874327.html,2021-02-02,142,102444
老哥们看看我这六只鸡需要精简吗？,https://bbs.hupu.com/40910192.html,2021-02-04,7,11182
2021高速赛道——铁锂电池产业链可能面临价值重估（重点推荐：比亚迪、天齐锂）,https://bbs.hupu.com/40809669.html,2021-01-30,208,211189
海螺水泥股东集中贴,https://bbs.hupu.com/40919271.html,2021-02-04,19,12670
这个基适合入手不,https://bbs.hupu.com/40920668.html,2021-02-04,3,5735
烽火通信是要倒闭了吗,https://bbs.hupu.com/40915785.html,2021-02-04,18,29265
袁芳的新基工银圆兴和周应波的新基中欧互联网哪个好,https://bbs.hupu.com/40919213.html,2021-02-04,4,6070
绊倒体即将到达去年九月的低点,https://bbs.hupu.com/40912220.html,2021-02-04,14,24184
二探诺安,https://bbs.hupu.com/40917283.html,2021-02-04,2,3133
猜猜哪个基金，跑的咋样,https://bbs.hupu.com/40893517.html,2021-02-03,27,31636
炒股玩基金不要动来动去,https://bbs.hupu.com/40882559.html,2021-02-03,8,15302
这个基金经理该不该自裁以谢天下,https://bbs.hupu.com/40909693.html,2021-02-04,76,104957
明天（2.5）是黑色星期五还是兴奋星期五？,https://bbs.hupu.com/40918981.html,2021-02-04,24,18900
我艹。。。。每天必做T。。。。,https://bbs.hupu.com/40880495.html,2021-02-02,37,46951
